"DEVICE_ID","BEGIN","END","POSITION","COMMENT"
"1018","2011-08-17 00:00:00+02:00","2012-02-25 12:00:00+02:00","44","GPS Logger @ Grabengufer Top Detachement Edge"
"1027","2012-02-25 12:00:00+02:00","9999-01-01 00:00:00","44","GPS Logger @ Grabengufer Top Detachement Edge"
# position 55
"1034","2011-08-17 00:00:00+02:00","2012-02-23 12:00:00+02:00","55","GPS Logger @ Breithorn Rock Glacier Bottom"
"1019","2012-02-23 12:00:00+02:00","9999-01-01 00:00:00","55","GPS Logger @ Breithorn Rock Glacier Bottom"
# position 56
"1033","2011-08-17 00:00:00+02:00","2012-02-23 12:00:00+02:00","56","GPS Logger @ Laengschnee Ridge"
"1007","2012-02-23 12:00:00+02:00","9999-01-01 00:00:00","56","GPS Logger @ Laengschnee Ridge"
# position 57
"1031","2011-08-17 00:00:00+02:00","2012-07-17 06:00:00+02:00","57","GPS Logger @ Gugla Above Cliff"
# position 62
"1016","2012-02-23 00:00:00+02:00","9999-01-01 00:00:00","62","GPS Logger @ Breithorn Bottom"
# position 63
"1025","2012-02-23 00:00:00+02:00","9999-01-01 00:00:00","63","GPS Logger @ Breithorn Rock Glacier Top"
# position 64
"1035","2012-02-23 00:00:00+02:00","9999-01-01 00:00:00","64","GPS Logger @ Laengschnee Europaweg"

################################################################################################
# Webcams from UniFR
################################################################################################
# position 48
"6003","2011-07-02 00:00:00+02:00","9999-01-01 00:00:00","48","Grabengufer Top Webcam"
# position 49
"6004","2011-07-02 00:00:00+02:00","9999-01-01 00:00:00","49","Grabengufer Grosshaupt Webcam"
# position 50
"6005","2011-07-02 00:00:00+02:00","9999-01-01 00:00:00","50","Grabengufer Miesboden Webcam"
# position 51
"6006","2011-07-02 00:00:00+02:00","9999-01-01 00:00:00","51","Gugla Bielzihji Webcam"
# position 52
"6007","2011-07-02 00:00:00+02:00","9999-01-01 00:00:00","52","Grosse Grabe Webcam"
# position 53
"6008","2011-07-02 00:00:00+02:00","9999-01-01 00:00:00","53","Findelengletscher Webcam"
# position 54
"6009","2011-07-02 00:00:00+02:00","9999-01-01 00:00:00","54","Dirru Geisstriftbach Webcam"
