"POSITION","LONGITUDE","LATITUDE","ALTITUDE","COMMENT"
"456","8.552925","47.377305","527",
"457","8.552925","47.377305","527",
"458","8.552925","47.377305","527",
"459","8.552925","47.377305","527",
"460","8.552925","47.377305","527",
"461","8.552925","47.377305","527",
"462","8.552925","47.377305","527",
"463","8.552925","47.377305","527",
"464","8.552925","47.377305","527",
"465","8.552925","47.377305","527",
"466","8.552925","47.377305","527",
"467","8.552925","47.377305","527",
"468","8.552925","47.377305","527",
"469","8.552925","47.377305","527",
"470","8.552925","47.377305","527",
"471","8.552925","47.377305","527",
"472","8.552925","47.377305","527",
"473","8.552925","47.377305","527",
"474","8.552925","47.377305","527",
"475","8.552925","47.377305","527",
"476","8.552925","47.377305","527",
"477","8.552925","47.377305","527",
"478","8.552925","47.377305","527",
"479","8.552925","47.377305","527",
"480","8.552925","47.377305","527",
"481","8.552925","47.377305","527",
"482","8.552925","47.377305","527",
"483","8.552925","47.377305","527",
"484","8.552925","47.377305","527",
"485","8.552925","47.377305","527",
"486","8.552925","47.377305","527",
"487","8.552925","47.377305","527",
"488","8.552925","47.377305","527",
"489","8.552925","47.377305","527",
"490","8.552925","47.377305","527",
"491","8.552925","47.377305","527",
"492","8.552925","47.377305","527",
"493","8.552925","47.377305","527",
"494","8.552925","47.377305","527",
"495","8.552925","47.377305","527",
"496","8.552925","47.377305","527",
"497","8.552925","47.377305","527",
"498","8.552925","47.377305","527",
"499","8.552925","47.377305","527",
"500","8.552925","47.377305","527",
"501","8.552925","47.377305","527",
"502","8.552925","47.377305","527",
"503","8.552925","47.377305","527",
"504","8.552925","47.377305","527",
"505","8.552925","47.377305","527",
"506","8.552925","47.377305","527",
"507","8.552925","47.377305","527",
"508","8.552925","47.377305","527",
"509","8.552925","47.377305","527",
"510","8.552925","47.377305","527",
"511","8.552925","47.377305","527",
"512","8.552925","47.377305","527",
"513","8.552925","47.377305","527",
"514","8.552925","47.377305","527",
"515","8.552925","47.377305","527",
"516","8.552925","47.377305","527",
"517","8.552925","47.377305","527",
"518","8.552925","47.377305","527",
"519","8.552925","47.377305","527",
"520","8.552925","47.377305","527",
"521","8.552925","47.377305","527",
"522","8.552925","47.377305","527",
"523","8.552925","47.377305","527",
"524","8.552925","47.377305","527",
"525","8.552925","47.377305","527",
"526","8.552925","47.377305","527",
"527","8.552925","47.377305","527",
"528","8.552925","47.377305","527",
"529","8.552925","47.377305","527",
"530","8.552925","47.377305","527",
"531","8.552925","47.377305","527",
"532","8.552925","47.377305","527",
"533","8.552925","47.377305","527",
"534","8.552925","47.377305","527",
"535","8.552925","47.377305","527",
"536","8.552925","47.377305","527",
"537","8.552925","47.377305","527",
"538","8.552925","47.377305","527",
"539","8.552925","47.377305","527",
"540","8.552925","47.377305","527",
"541","8.552925","47.377305","527",
"542","8.552925","47.377305","527",
"543","8.552925","47.377305","527",
"544","8.552925","47.377305","527",
"545","8.552925","47.377305","527",
"546","8.552925","47.377305","527",
"547","8.552925","47.377305","527",
"548","8.552925","47.377305","527",
"549","8.552925","47.377305","527",
"550","8.552925","47.377305","527",
"551","8.552925","47.377305","527",
"552","8.552925","47.377305","527",
"553","8.552925","47.377305","527",
"554","8.552925","47.377305","527",
"555","8.552925","47.377305","527",
"556","8.552925","47.377305","527",
"557","8.552925","47.377305","527",
"558","8.552925","47.377305","527",
"559","8.552925","47.377305","527",
"560","8.552925","47.377305","527",
"561","8.552925","47.377305","527",
"562","8.552925","47.377305","527",
"563","8.552925","47.377305","527",
"564","8.552925","47.377305","527",
"565","8.552925","47.377305","527",
"566","8.552925","47.377305","527",
"567","8.552925","47.377305","527",
"568","8.552925","47.377305","527",
"569","8.552925","47.377305","527",
"570","8.552925","47.377305","527",
"571","8.552925","47.377305","527",
"572","8.552925","47.377305","527",
"573","8.552925","47.377305","527",
"574","8.552925","47.377305","527",
"575","8.552925","47.377305","527",
"576","8.552925","47.377305","527",
"577","8.552925","47.377305","527",
"578","8.552925","47.377305","527",
"579","8.552925","47.377305","527",
"580","8.552925","47.377305","527",
"581","8.552925","47.377305","527",
"582","8.552925","47.377305","527",
"583","8.552925","47.377305","527",
"584","8.552925","47.377305","527",
"585","8.552925","47.377305","527",
"586","8.552925","47.377305","527",
"587","8.552925","47.377305","527",
"588","8.552925","47.377305","527",
"589","8.552925","47.377305","527",
"590","8.552925","47.377305","527",
"591","8.552925","47.377305","527",
"592","8.552925","47.377305","527",
"593","8.552925","47.377305","527",
"594","8.552925","47.377305","527",
"595","8.552925","47.377305","527",
"596","8.552925","47.377305","527",
"597","8.552925","47.377305","527",
